05/22/2010,00:06:35.296,$WIR03,10/05/22,00:23:30, 176,   85.1, 457.72, 22.52, 22.56, 562.79, 27.8,  9.9
05/22/2010,00:06:45.265,$WIR03,10/05/22,00:23:40, 175,   55.1, 448.09, 22.53, 22.56, 557.94, 27.8,  9.9
05/22/2010,00:06:55.250,$WIR03,10/05/22,00:23:50, 175,   75.7, 454.36, 22.53, 22.57, 559.55, 27.8,  9.8
05/22/2010,00:07:05.281,$WIR03,10/05/22,00:24:00, 176,   77.8, 456.02, 22.53, 22.54, 554.22, 27.8,  9.9
05/22/2010,00:07:15.250,$WIR03,10/05/22,00:24:10, 175,   64.8, 451.94, 22.54, 22.54, 558.49, 27.8,  9.9
05/22/2010,00:07:25.281,$WIR03,10/05/22,00:24:20, 176,   70.9, 453.82, 22.54, 22.55, 553.94, 27.8,  9.9
05/22/2010,00:07:35.265,$WIR03,10/05/22,00:24:30, 175,   65.8, 452.63, 22.55, 22.54, 559.32, 27.8,  9.9
05/22/2010,00:07:45.296,$WIR03,10/05/22,00:24:40, 176,   72.9, 455.86, 22.54, 22.49, 544.55, 27.8,  9.9
05/22/2010,00:07:55.265,$WIR03,10/05/22,00:24:50, 175,   43.2, 446.91, 22.53, 22.46, 552.98, 27.8,  9.9
05/22/2010,00:08:05.250,$WIR03,10/05/22,00:25:00, 175,   56.1, 451.63, 22.53, 22.42, 543.62, 27.8,  9.9
05/22/2010,00:08:15.281,$WIR03,10/05/22,00:25:10, 176,   41.9, 448.32, 22.51, 22.36, 543.74, 27.7,  9.8
05/22/2010,00:08:25.265,$WIR03,10/05/22,00:25:20, 175,   48.7, 451.05, 22.49, 22.31, 547.21, 27.7,  9.9
05/22/2010,00:08:35.281,$WIR03,10/05/22,00:25:30, 176,   48.0, 450.32, 22.46, 22.29, 546.30, 27.7,  9.9
05/22/2010,00:08:45.265,$WIR03,10/05/22,00:25:40, 175,   61.7, 454.64, 22.44, 22.27, 552.24, 27.7,  9.9
05/22/2010,00:08:55.296,$WIR03,10/05/22,00:25:50, 176,   63.8, 455.39, 22.42, 22.23, 547.73, 27.7,  9.9
05/22/2010,00:09:05.265,$WIR03,10/05/22,00:26:00, 175,   68.6, 457.14, 22.39, 22.19, 545.67, 27.7,  9.9
05/22/2010,00:09:15.250,$WIR03,10/05/22,00:26:10, 175,   67.9, 456.49, 22.37, 22.17, 549.04, 27.7,  9.9
05/22/2010,00:09:25.265,$WIR03,10/05/22,00:26:20, 176,   43.5, 447.91, 22.34, 22.18, 550.13, 27.7,  9.9
05/22/2010,00:09:35.250,$WIR03,10/05/22,00:26:30, 175,   59.3, 452.13, 22.31, 22.17, 542.89, 27.7,  9.9
05/22/2010,00:09:45.281,$WIR03,10/05/22,00:26:40, 176,   67.5, 454.92, 22.29, 22.14, 542.20, 27.7,  9.8
05/22/2010,00:09:55.250,$WIR03,10/05/22,00:26:50, 175,   66.2, 454.60, 22.27, 22.11, 542.66, 27.7,  9.9
05/22/2010,00:10:05.234,$WIR03,10/05/22,00:27:00, 175,   91.7, 462.27, 22.24, 22.10, 546.02, 27.6,  9.9
05/22/2010,00:10:15.265,$WIR03,10/05/22,00:27:10, 176,   65.6, 454.51, 22.22, 22.05, 535.99, 27.6,  9.9
05/22/2010,00:10:25.234,$WIR03,10/05/22,00:27:20, 175,   71.0, 456.32, 22.20, 22.02, 543.11, 27.6,  9.8
05/22/2010,00:10:35.265,$WIR03,10/05/22,00:27:30, 176,   81.0, 458.50, 22.18, 22.03, 544.34, 27.6,  9.9
05/22/2010,00:10:45.250,$WIR03,10/05/22,00:27:40, 175,   65.8, 453.18, 22.15, 22.02, 550.18, 27.6,  9.9
05/22/2010,00:10:55.281,$WIR03,10/05/22,00:27:50, 176,   76.0, 456.05, 22.13, 22.01, 549.96, 27.6,  9.9
05/22/2010,00:11:05.250,$WIR03,10/05/22,00:28:00, 175,   63.1, 451.44, 22.11, 22.01, 550.42, 27.6,  9.9
05/22/2010,00:11:15.234,$WIR03,10/05/22,00:28:10, 175,   62.9, 451.01, 22.09, 22.00, 540.03, 27.5,  9.9
05/22/2010,00:11:25.265,$WIR03,10/05/22,00:28:20, 176,   47.7, 446.76, 22.08, 21.96, 546.54, 27.5,  9.9
05/22/2010,00:11:35.234,$WIR03,10/05/22,00:28:30, 175,   61.5, 450.58, 22.06, 21.96, 549.40, 27.5,  9.9
05/22/2010,00:11:45.265,$WIR03,10/05/22,00:28:40, 176,   65.8, 451.24, 22.05, 21.97, 546.88, 27.5,  9.9
05/22/2010,00:11:55.250,$WIR03,10/05/22,00:28:50, 175,   57.8, 448.56, 22.03, 21.95, 535.34, 27.5,  9.9
05/22/2010,00:12:05.281,$WIR03,10/05/22,00:29:00, 176,   78.5, 455.12, 22.02, 21.94, 541.41, 27.5,  9.9
05/22/2010,00:12:15.250,$WIR03,10/05/22,00:29:10, 175,   95.5, 459.62, 22.00, 21.96, 536.52, 27.5,  9.9
05/22/2010,00:12:25.218,$WIR03,10/05/22,00:29:20, 175,   58.5, 447.22, 21.99, 21.97, 544.69, 27.5,  9.9
05/22/2010,00:12:35.250,$WIR03,10/05/22,00:29:30, 176,   55.5, 445.39, 21.99, 22.01, 543.52, 27.5,  9.9
05/22/2010,00:12:45.234,$WIR03,10/05/22,00:29:40, 175,   51.7, 444.04, 21.99, 22.02, 543.58, 27.5,  9.8
05/22/2010,00:12:55.265,$WIR03,10/05/22,00:29:50, 176,   75.1, 450.89, 21.99, 22.04, 542.08, 27.4,  9.9
